classroom,keterangan
322,bentrok jadwal pada hari 1 sesi 3
338,bentrok jadwal pada hari 2 sesi 4
342,bentrok jadwal pada hari 1 sesi 5
346,bentrok jadwal pada hari 1 sesi 3
