classroom,keterangan
261,bentrok jadwal pada hari 0 sesi 7
261,bentrok jadwal pada hari 0 sesi 8
264,bentrok jadwal pada hari 0 sesi 5
264,bentrok jadwal pada hari 0 sesi 6
265,bentrok jadwal pada hari 2 sesi 3
321,bentrok jadwal pada hari 3 sesi 4
321,bentrok jadwal pada hari 3 sesi 5
332,bentrok jadwal pada hari 2 sesi 4
344,bentrok jadwal pada hari 2 sesi 3
