classroom,keterangan
255,bentrok jadwal pada hari 0 sesi 4
261,bentrok jadwal pada hari 1 sesi 4
262,bentrok jadwal pada hari 3 sesi 3
262,bentrok jadwal pada hari 3 sesi 4
325,bentrok jadwal pada hari 1 sesi 3
